original_link,section,link
https://www.hooktheory.com/theorytab/view/a-mei/my-dearest,pre-chorus,https://hookpad.hooktheory.com?idOfSong=LAgQ_RAeoyO&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-mei/my-dearest,chorus,https://hookpad.hooktheory.com?idOfSong=ZwxKDkEDoed&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-mei/remember,verse,https://hookpad.hooktheory.com?idOfSong=RzojbvpNoDe&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-mei/remember,chorus,https://hookpad.hooktheory.com?idOfSong=YAg-lwOJmle&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-mei/so-you-dont-want-anything,verse-and-pre-chorus,https://hookpad.hooktheory.com?idOfSong=QLgnw_qvx-V&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-mei/so-you-dont-want-anything,chorus,https://hookpad.hooktheory.com?idOfSong=dPoDpZ_qonM&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-mei/you-do-love-me,verse,https://hookpad.hooktheory.com?idOfSong=AaoGpr-EmeQ&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-mei/you-do-love-me,pre-chorus,https://hookpad.hooktheory.com?idOfSong=ANmpaYvngyM&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-mei/you-do-love-me,chorus,https://hookpad.hooktheory.com?idOfSong=kygzNLABgKB&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-mei/you-do-love-me,bridge,https://hookpad.hooktheory.com?idOfSong=RPxevDReob_&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-perfect-circle/3-libras,intro,https://hookpad.hooktheory.com?idOfSong=bWgMZBQExlX&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-perfect-circle/3-libras,verse,https://hookpad.hooktheory.com?idOfSong=ZbgOyalQonY&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-perfect-circle/3-libras,pre-chorus-and-chorus,https://hookpad.hooktheory.com?idOfSong=YAg-a_bKgle&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-perfect-circle/blue,chorus,https://hookpad.hooktheory.com?idOfSong=zngRZaBVgJj&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-perfect-circle/john-lennon---imagine,intro-and-verse,https://hookpad.hooktheory.com?idOfSong=nJmBJYlpmAV&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-perfect-circle/passive,intro,https://hookpad.hooktheory.com?idOfSong=RPxejbBLob_&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-perfect-circle/passive,pre-chorus-and-chorus,https://hookpad.hooktheory.com?idOfSong=yvmrekMdoOW&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-perfect-circle/talktalk,intro,https://hookpad.hooktheory.com?idOfSong=yvgPEbnAxYq&amp;enableYouTube=false&amp;openBandEditorOnInit=true
https://www.hooktheory.com/theorytab/view/a-perfect-circle/the-doomed,verse,https://hookpad.hooktheory.com?idOfSong=lamkVrkwoDM&amp;enableYouTube=false&amp;openBandEditorOnInit=true
